player_name,team,runs,matches,innings,not_out,highest_score,Average_score,bf,strike_rate,centuries,fifties,fours,sixes
"Surya Kumar Yadav",MI,717,16,16,5,73*,65.18,427,167.91,0,5,69,38
"Rohit Sharma",MI,418,15,15,1,81,29.86,280,149.28,0,4,41,22
"Ryan Rickelton",MI,388,14,14,1,62*,29.85,257,150.97,0,3,47,17
"N Tilak Varma",MI,343,16,13,2,59,31.18,248,138.30,0,2,23,16
"Naman Dhir",MI,252,16,12,4,46,31.50,138,182.60,0,0,24,13
"Will Jacks",MI,233,13,11,1,53,23.30,172,135.46,0,1,22,11
"Hardik Pandya",MI,224,15,12,3,48*,24.89,137,163.50,0,0,18,12
"Jonny Bairstow",MI,85,2,2,0,47,42.50,46,184.78,0,0,7,5
"Corbin Bosch",MI,47,2,2,0,27,23.50,32,146.87,0,0,3,3
"Mitchell Santner",MI,40,13,8,6,18*,20.00,33,121.21,0,0,2,3
"Deepak Chahar",MI,37,14,4,3,28*,37.00,25,148.00,0,0,3,2
"Robin Minz",MI,6,2,2,0,3,3.00,15,40.00,0,0,0,0
"Trent Boult",MI,2,16,2,1,1*,2.00,3,66.66,0,0,0,0
